character_id,series_name,series_resourceURI
1011334,Avengers: The Initiative (2007 - 2010),http://gateway.marvel.com/v1/public/series/1945
1011334,Deadpool (1997 - 2002),http://gateway.marvel.com/v1/public/series/2005
1011334,Marvel Premiere (1972 - 1981),http://gateway.marvel.com/v1/public/series/2045
1017100,FREE COMIC BOOK DAY 2013 1 (2013),http://gateway.marvel.com/v1/public/series/17765
1017100,Hulk (2008 - 2012),http://gateway.marvel.com/v1/public/series/3374
1009144,Ant-Man & Wasp (2010 - 2011),http://gateway.marvel.com/v1/public/series/13082
1009144,Avengers (1963 - 1996),http://gateway.marvel.com/v1/public/series/1991
1009144,Avengers (1998 - 2004),http://gateway.marvel.com/v1/public/series/354
1009144,Avengers and Power Pack (2017),http://gateway.marvel.com/v1/public/series/23123
1009144,Avengers and Power Pack Assemble! (2006),http://gateway.marvel.com/v1/public/series/1046
1009144,AVENGERS BY BRIAN MICHAEL BENDIS: THE COMPLETE COLLECTION VOL. 2 TPB (2017),http://gateway.marvel.com/v1/public/series/27689
1009144,Avengers Unlimited Infinity Comic (2022 - 2023),http://gateway.marvel.com/v1/public/series/35600
1009144,Avengers Vol. 2: Red Zone (2003),http://gateway.marvel.com/v1/public/series/227
1009144,Avengers Vol. II: Red Zone (2003),http://gateway.marvel.com/v1/public/series/271
1009144,Captain America (1968 - 1996),http://gateway.marvel.com/v1/public/series/1996
1009144,Captain America (1998 - 2002),http://gateway.marvel.com/v1/public/series/1997
1009144,"Captain America by Mark Waid, Ron Garney & Andy Kubert (2017)",http://gateway.marvel.com/v1/public/series/23810
1009144,Defenders (1972 - 1986),http://gateway.marvel.com/v1/public/series/3743
1009144,Incredible Hulks (2010 - 2011),http://gateway.marvel.com/v1/public/series/8842
1009144,Indestructible Hulk (2012 - 2014),http://gateway.marvel.com/v1/public/series/16583
1009144,Iron Man (1968 - 1996),http://gateway.marvel.com/v1/public/series/2029
1009144,Iron Man (2012 - 2014),http://gateway.marvel.com/v1/public/series/16593
1009144,Iron Man Epic Collection: Doom (2018),http://gateway.marvel.com/v1/public/series/23915
1009144,Marvel Adventures Super Heroes (2010 - 2012),http://gateway.marvel.com/v1/public/series/9718
1009144,MARVEL MASTERWORKS: CAPTAIN AMERICA (2005),http://gateway.marvel.com/v1/public/series/1506
1010699,Dark Avengers (2012 - 2013),http://gateway.marvel.com/v1/public/series/789
1010699,Hulk (2008 - 2012),http://gateway.marvel.com/v1/public/series/3374
1010699,Universe X (2000 - 2001),http://gateway.marvel.com/v1/public/series/2085
1009146,Abominations (1996 - Present),http://gateway.marvel.com/v1/public/series/30582
1009146,Avengers (1998 - 2004),http://gateway.marvel.com/v1/public/series/354
1009146,AVENGERS: WORLD TRUST (2003),http://gateway.marvel.com/v1/public/series/158
1009146,Earth X (1999 - 2000),http://gateway.marvel.com/v1/public/series/378
1009146,EARTH X TPB [NEW PRINTING] (2006),http://gateway.marvel.com/v1/public/series/1806
1009146,Hulk (2008 - 2012),http://gateway.marvel.com/v1/public/series/3374
1009146,Hulk (1999 - 2008),http://gateway.marvel.com/v1/public/series/465
1009146,Hulk: Destruction (2005),http://gateway.marvel.com/v1/public/series/924
1009146,Incredible Hulk (1962 - 1999),http://gateway.marvel.com/v1/public/series/2021
1009146,Incredible Hulk Annual (1976 - 1994),http://gateway.marvel.com/v1/public/series/2983
1009146,Incredible Hulk Epic Collection: The Hulk Must Die (2017),http://gateway.marvel.com/v1/public/series/22424
1009146,Incredible Hulk Vol. 4: Abominable (2003),http://gateway.marvel.com/v1/public/series/212
1009146,Incredible Hulk Vol. IV: Abominable (2003),http://gateway.marvel.com/v1/public/series/244
1009146,Incredible Hulks (2010 - 2011),http://gateway.marvel.com/v1/public/series/8842
1009146,Iron Man (1998 - 2004),http://gateway.marvel.com/v1/public/series/2572
1009146,IRREDEEMABLE ANT-MAN VOL. 1: LOW-LIFE DIGEST (2007),http://gateway.marvel.com/v1/public/series/2423
1009146,Killraven (2002 - 2003),http://gateway.marvel.com/v1/public/series/3722
1009146,KILLRAVEN PREMIERE HC (2007),http://gateway.marvel.com/v1/public/series/2437
1009146,Maestro: World War M (2022),http://gateway.marvel.com/v1/public/series/32108
1009146,Marvel Cinematic Universe Guidebook: The Avengers Initiative (2017),http://gateway.marvel.com/v1/public/series/21675
1016823,Hulk (2008 - 2012),http://gateway.marvel.com/v1/public/series/3374
1016823,Ultimate X-Men (2001 - 2009),http://gateway.marvel.com/v1/public/series/474
1009148,A+X (2012 - 2014),http://gateway.marvel.com/v1/public/series/16450
1009148,Avengers (1963 - 1996),http://gateway.marvel.com/v1/public/series/1991
1009148,Avengers Academy (2010 - 2012),http://gateway.marvel.com/v1/public/series/9086
1009148,Avengers Annual (1967 - 1994),http://gateway.marvel.com/v1/public/series/1988
1009148,Black Bolt (2017 - 2018),http://gateway.marvel.com/v1/public/series/23121
1009148,Black Bolt Vol. 1: Hard Time (2017),http://gateway.marvel.com/v1/public/series/23778
1009148,Captain America (1998 - 2002),http://gateway.marvel.com/v1/public/series/1997
1009148,Dazzler (1981 - 1986),http://gateway.marvel.com/v1/public/series/3745
1009148,Deadpool (1997 - 2002),http://gateway.marvel.com/v1/public/series/2005
1009148,Fantastic Four (1961 - 1998),http://gateway.marvel.com/v1/public/series/2121
1009148,Fantastic Four (1998 - 2012),http://gateway.marvel.com/v1/public/series/421
1009148,Fear Itself (2010 - 2011),http://gateway.marvel.com/v1/public/series/13691
1009148,Fear Itself: Fellowship of Fear (2011),http://gateway.marvel.com/v1/public/series/13857
1009148,Fear Itself: The Worthy (2011),http://gateway.marvel.com/v1/public/series/13827
1009148,Gamma Flight (2021),http://gateway.marvel.com/v1/public/series/31372
1009148,Heroes for Hire (1997 - 1999),http://gateway.marvel.com/v1/public/series/20084
1009148,Hulk (1999 - 2008),http://gateway.marvel.com/v1/public/series/465
1009148,Illuminati (2015 - 2016),http://gateway.marvel.com/v1/public/series/20552
1009148,Immortal Hulk (2018 - 2021),http://gateway.marvel.com/v1/public/series/24278
1009148,Immortal Hulk Vol. 2: The Green Door (2019),http://gateway.marvel.com/v1/public/series/24891
1009149,Uncanny X-Men (1981 - 2011),http://gateway.marvel.com/v1/public/series/2258
1009149,X-Men: Alpha (1995),http://gateway.marvel.com/v1/public/series/2104
1009149,X-MEN: THE COMPLETE AGE OF APOCALYPSE EPIC (2005),http://gateway.marvel.com/v1/public/series/1583
1010903,Weapon X (1995),http://gateway.marvel.com/v1/public/series/3635
1010903,X-Men: Alpha (1995),http://gateway.marvel.com/v1/public/series/2104
1010903,X-MEN: THE COMPLETE AGE OF APOCALYPSE EPIC (2005),http://gateway.marvel.com/v1/public/series/1583
