character_id,story_name,story_type,story_resourceURI
1011334,Cover #19947,cover,http://gateway.marvel.com/v1/public/stories/19947
1011334,The 3-D Man!,interiorStory,http://gateway.marvel.com/v1/public/stories/19948
1011334,Cover #19949,cover,http://gateway.marvel.com/v1/public/stories/19949
1011334,The Devil's Music!,interiorStory,http://gateway.marvel.com/v1/public/stories/19950
1011334,Cover #19951,cover,http://gateway.marvel.com/v1/public/stories/19951
1011334,Code-Name:  The Cold Warrior!,interiorStory,http://gateway.marvel.com/v1/public/stories/19952
1011334,"Avengers: The Initiative (2007) #14, Spotlight Variant - Int",interiorStory,http://gateway.marvel.com/v1/public/stories/54371
1011334,Avengers: The Initiative (2007) #14 - Int,interiorStory,http://gateway.marvel.com/v1/public/stories/47185
1011334,Avengers: The Initiative (2007) #15 - Int,interiorStory,http://gateway.marvel.com/v1/public/stories/47499
1011334,Avengers: The Initiative (2007) #16 - Int,interiorStory,http://gateway.marvel.com/v1/public/stories/47793
1011334,Avengers: The Initiative (2007) #17 - Int,interiorStory,http://gateway.marvel.com/v1/public/stories/48362
1011334,Avengers: The Initiative (2007) #18 - Int,interiorStory,http://gateway.marvel.com/v1/public/stories/49104
1011334,"Avengers: The Initiative (2007) #18, Zombie Variant - Int",interiorStory,http://gateway.marvel.com/v1/public/stories/49106
1011334,Avengers: The Initiative (2007) #19 - Int,interiorStory,http://gateway.marvel.com/v1/public/stories/49889
1011334,Deadpool (1997) #44,interiorStory,http://gateway.marvel.com/v1/public/stories/96303
1011334,AVENGERS: THE INITIATIVE (2007) #14,cover,http://gateway.marvel.com/v1/public/stories/47184
1011334,AVENGERS: THE INITIATIVE (2007) #15,cover,http://gateway.marvel.com/v1/public/stories/47498
1011334,AVENGERS: THE INITIATIVE (2007) #16,cover,http://gateway.marvel.com/v1/public/stories/47792
1011334,AVENGERS: THE INITIATIVE (2007) #17,cover,http://gateway.marvel.com/v1/public/stories/48361
1011334,AVENGERS: THE INITIATIVE (2007) #18,cover,http://gateway.marvel.com/v1/public/stories/49103
1017100,Hulk (2008) #53,cover,http://gateway.marvel.com/v1/public/stories/92086
1017100,Interior #92087,interiorStory,http://gateway.marvel.com/v1/public/stories/92087
1017100,Hulk (2008) #54,cover,http://gateway.marvel.com/v1/public/stories/92082
1017100,Interior #92083,interiorStory,http://gateway.marvel.com/v1/public/stories/92083
1017100,Hulk (2008) #55,cover,http://gateway.marvel.com/v1/public/stories/92078
1017100,Interior #92079,interiorStory,http://gateway.marvel.com/v1/public/stories/92079
1017100,cover from Free Comic Book Day 2013 (Avengers/Hulk) (2013) #1,cover,http://gateway.marvel.com/v1/public/stories/105929
1009144,When the Unliving Strike,interiorStory,http://gateway.marvel.com/v1/public/stories/10253
1009144,Cover #10255,cover,http://gateway.marvel.com/v1/public/stories/10255
1009144,The Enemy Within!,interiorStory,http://gateway.marvel.com/v1/public/stories/10256
1009144,Death Before Dishonor!,interiorStory,http://gateway.marvel.com/v1/public/stories/10259
1009144,Cover #10261,cover,http://gateway.marvel.com/v1/public/stories/10261
1009144,The End of A.I.M.!,interiorStory,http://gateway.marvel.com/v1/public/stories/10262
1009144,The Red Skull Lives!,interiorStory,http://gateway.marvel.com/v1/public/stories/11921
1009144,He Who Holds the Cosmic Cube,interiorStory,http://gateway.marvel.com/v1/public/stories/11930
1009144,The Maddening Mystery of the Inconceivable Adaptoid!,interiorStory,http://gateway.marvel.com/v1/public/stories/11936
1009144,If This Be... Modok,interiorStory,http://gateway.marvel.com/v1/public/stories/11981
1009144,A Time to Die -- A Time to Live!,interiorStory,http://gateway.marvel.com/v1/public/stories/11984
1009144,At the Mercy of the Maggia,interiorStory,http://gateway.marvel.com/v1/public/stories/11995
