character_id,comic_name,comic_resourceURI
1011334,Avengers: The Initiative (2007) #14,http://gateway.marvel.com/v1/public/comics/21366
1011334,Avengers: The Initiative (2007) #14 (SPOTLIGHT VARIANT),http://gateway.marvel.com/v1/public/comics/24571
1011334,Avengers: The Initiative (2007) #15,http://gateway.marvel.com/v1/public/comics/21546
1011334,Avengers: The Initiative (2007) #16,http://gateway.marvel.com/v1/public/comics/21741
1011334,Avengers: The Initiative (2007) #17,http://gateway.marvel.com/v1/public/comics/21975
1011334,Avengers: The Initiative (2007) #18,http://gateway.marvel.com/v1/public/comics/22299
1011334,Avengers: The Initiative (2007) #18 (ZOMBIE VARIANT),http://gateway.marvel.com/v1/public/comics/22300
1011334,Avengers: The Initiative (2007) #19,http://gateway.marvel.com/v1/public/comics/22506
1011334,Deadpool (1997) #44,http://gateway.marvel.com/v1/public/comics/8500
1011334,Marvel Premiere (1972) #35,http://gateway.marvel.com/v1/public/comics/10223
1011334,Marvel Premiere (1972) #36,http://gateway.marvel.com/v1/public/comics/10224
1011334,Marvel Premiere (1972) #37,http://gateway.marvel.com/v1/public/comics/10225
1017100,FREE COMIC BOOK DAY 2013 1 (2013) #1,http://gateway.marvel.com/v1/public/comics/47176
1017100,Hulk (2008) #53,http://gateway.marvel.com/v1/public/comics/40632
1017100,Hulk (2008) #54,http://gateway.marvel.com/v1/public/comics/40630
1017100,Hulk (2008) #55,http://gateway.marvel.com/v1/public/comics/40628
1009144,Ant-Man & Wasp (2010) #3,http://gateway.marvel.com/v1/public/comics/36763
1009144,Avengers (1998) #67,http://gateway.marvel.com/v1/public/comics/17553
1009144,Avengers (1963) #87,http://gateway.marvel.com/v1/public/comics/7340
1009144,Avengers and Power Pack Assemble! (2006) #2,http://gateway.marvel.com/v1/public/comics/4214
1009144,Avengers and Power Pack (2017) #3,http://gateway.marvel.com/v1/public/comics/63217
1009144,Avengers and Power Pack (2017) #4,http://gateway.marvel.com/v1/public/comics/63218
1009144,Avengers and Power Pack (2017) #5,http://gateway.marvel.com/v1/public/comics/63219
1009144,Avengers and Power Pack (2017) #6,http://gateway.marvel.com/v1/public/comics/63220
1009144,AVENGERS BY BRIAN MICHAEL BENDIS: THE COMPLETE COLLECTION VOL. 2 TPB (Trade Paperback),http://gateway.marvel.com/v1/public/comics/64790
1009144,Avengers Unlimited Infinity Comic (2022) #17,http://gateway.marvel.com/v1/public/comics/103371
1009144,Avengers Vol. 2: Red Zone (Trade Paperback),http://gateway.marvel.com/v1/public/comics/1170
1009144,Avengers Vol. II: Red Zone (Trade Paperback),http://gateway.marvel.com/v1/public/comics/1214
1009144,Captain America (1998) #28,http://gateway.marvel.com/v1/public/comics/12787
1009144,Captain America (1968) #132,http://gateway.marvel.com/v1/public/comics/7513
1009144,Captain America (1968) #133,http://gateway.marvel.com/v1/public/comics/7514
1009144,"Captain America by Mark Waid, Ron Garney & Andy Kubert (Hardcover)",http://gateway.marvel.com/v1/public/comics/65466
1009144,Defenders (1972) #57,http://gateway.marvel.com/v1/public/comics/20367
1009144,Incredible Hulks (2010) #606 (VARIANT),http://gateway.marvel.com/v1/public/comics/31068
1009144,Indestructible Hulk (2012) #3,http://gateway.marvel.com/v1/public/comics/46168
1009144,Iron Man (2012) #1,http://gateway.marvel.com/v1/public/comics/43944
1010699,Dark Avengers (2012) #177,http://gateway.marvel.com/v1/public/comics/40776
1010699,Dark Avengers (2012) #179,http://gateway.marvel.com/v1/public/comics/40773
1010699,Dark Avengers (2012) #180,http://gateway.marvel.com/v1/public/comics/40774
1010699,Dark Avengers (2012) #181,http://gateway.marvel.com/v1/public/comics/40778
1010699,Dark Avengers (2012) #182,http://gateway.marvel.com/v1/public/comics/40787
1010699,Dark Avengers (2012) #183,http://gateway.marvel.com/v1/public/comics/40786
1010699,Hulk (2008) #43,http://gateway.marvel.com/v1/public/comics/38073
1010699,Universe X (2000) #6,http://gateway.marvel.com/v1/public/comics/11910
1010699,Universe X (2000) #7,http://gateway.marvel.com/v1/public/comics/11911
1010699,Universe X (2000) #8,http://gateway.marvel.com/v1/public/comics/11912
1010699,Universe X (2000) #9,http://gateway.marvel.com/v1/public/comics/11913
1010699,Universe X (2000) #10,http://gateway.marvel.com/v1/public/comics/11903
1010699,Universe X (2000) #11,http://gateway.marvel.com/v1/public/comics/11904
1010699,Universe X (2000) #12,http://gateway.marvel.com/v1/public/comics/11905
